country_label,year,growth_gdp,inflation,popul,log_popul,startbusin,unemp,urban,schooling,rule_of_law,voice_account,pol_stability,gov_effective,regulatory_qual,control_corrup,dummy_eu,covid_year,dummy_oecd
Estonia,2017,5.371503506959115,3.112749744538718,1317384,14.09115850998062,95.1,5.76,68.717,9,1.28582751750946,1.214439392089844,0.6497753858566284,1.111728549003601,1.645035862922668,1.245323777198792,1,0,1
Estonia,2018,3.992898207756724,4.180246155360749,1321977,14.09463890136043,95.2,5.37,68.88,9,1.240727663040161,1.179301023483276,0.5873926877975464,1.190436959266663,1.551770210266113,1.505609512329102,1,0,1
Estonia,2019,4.607048745059799,3.226953436442585,1326898,14.0983544452508,95.3,4.45,69.051,9,1.28148341178894,1.181097984313965,0.6332562565803528,1.174427509307861,1.591254830360413,1.561715364456177,1,0,1
Estonia,2020,-3.235544444314101,-0.4438793720951395,1331057,14.10148392140394,95.4,6.8,69.229,9,1.382245540618896,1.171271800994873,0.7101202011108398,1.343335747718811,1.535387754440308,1.612779974937439,1,1,1
Finland,2014,-0.7761083831461377,1.631623336653348,5461512,15.51323623246189,92.4,8.66,85.175,9,2.129668474197388,1.541917204856873,1.282197237014771,2.032821893692017,1.884034514427185,2.163503408432007,1,0,1
Finland,2015,0.2130294196652613,1.616746497049263,5479531,15.51653007132008,92.4,9.38,85.225,9,2.089484214782715,1.543586492538452,1.040587306022644,1.874041557312012,1.836381435394287,2.258835554122925,1,0,1
Finland,2016,2.516379895242096,0.08742545829345261,5495303,15.51940428533695,92.4,8.82,85.275,9,2.049945592880249,1.531794309616089,0.9990864992141724,1.877939224243164,1.817407608032227,2.233330726623535,1,0,1
Finland,2017,2.950531372824727,0.8192628972587812,5508214,15.52175099065401,92.4,8.64,85.325,9,2.069357395172119,1.5593581199646,1.080909132957458,2.018676042556763,1.823054671287537,2.211038589477539,1,0,1
Finland,2018,1.177543063393088,1.930610210123803,5515525,15.52307740106193,92.4,7.36,85.382,9,2.079443216323853,1.576928496360779,0.9083589911460876,2.055258512496948,1.785689830780029,2.211138486862183,1,0,1
Finland,2019,1.161309709602463,1.517052921224547,5521606,15.52417931796684,92.4,6.69,85.446,9,2.058016061782837,1.564906120300293,0.8516567349433899,2.006594181060791,1.851163506507874,2.153199672698975,1,0,1
Finland,2020,-2.933777286478588,1.656622387698036,5530719,15.52582838313008,93.5,7.76,85.517,9,2.078882932662964,1.615212440490723,0.944625198841095,1.94893479347229,1.854751825332642,2.204168081283569,1,1,1
France,2014,0.4790775723490412,0.576944232991778,66312067,18.00988244462819,92.5,10.29,79.394,10,1.456656336784363,1.218159556388855,0.3005684912204742,1.418683171272278,1.07878577709198,1.292919516563416,1,0,1
France,2015,0.7540243523275194,1.138248785332351,66548272,18.01343813702877,93.0,10.35,79.655,10,1.398505687713623,1.206640601158142,0.1067063733935356,1.448122143745422,1.129694223403931,1.286498308181763,1,0,1
France,2016,0.8290566645167416,0.5225593434004452,66724104,18.01607682491442,93.1,10.05,79.917,10,1.386725783348083,1.136472582817078,-0.09535911679267883,1.416433572769165,1.07032310962677,1.37006402015686,1,0,1
France,2017,1.99499844733441,0.5215772633056872,66918020,18.01897884607793,93.3,9.41,80.18,10,1.436407089233398,1.15241527557373,0.2790775895118713,1.348090887069702,1.159510493278503,1.266991376876831,1,0,1
France,2018,1.513874550729753,0.9518605163739977,67101930,18.0217233645685,93.3,9.02,80.444,10,1.434448599815369,1.146512627601624,0.02915573492646217,1.458658337593079,1.156291723251343,1.317642092704773,1,0,1
France,2019,1.286711568035344,1.227217568555773,67248926,18.02391160605847,93.3,8.41,80.709,10,1.407694578170776,1.116437673568726,0.2993822395801544,1.372140288352966,1.440411925315857,1.283251285552979,1,0,1
